Nr_medyczny;Nazwisko i Imiê;Pesel;Data_przyjêcia;Lekarz;Pomoc;Ubezpieczenie;Koszt leczenia
256;Bednarek Bruno;77082357643;29.03.2021;Bobrzyñski;Pomoc ambulatoryjna;Pol-Plan Ubezpieczenia;570
257;Kêdzierski Dariusz;99012662623;29.03.2021;Bobrzyñski;Pomoc laryngologiczna;NFZ;690
258;Bielawski Filip;78031244254;29.03.2021;Piotrecki;Pomoc kardiologiczna;NFZ;1260
259;Œlusarczyk Dorota;41012450531;29.03.2021;Pielecka;Intensywna terapia;Abonament medyczny;2370
260;Lipka Eleonora;53031772840;29.03.2021;Kosiñska;Pomoc okulistyczna;NFZ;930
261;Jeziorski Maksymilian;78051654073;29.03.2021;Kosiñska;Pomoc ambulatoryjna;NFZ;570
262;Ciesielski Adam;12222730328;31.03.2021;Maliñski;Pomoc kardiologiczna;NFZ;1260
263;Michalik Oliwia;30041932578;31.03.2021;Maliñski;Pomoc kardiologiczna;NFZ;1260
264;¯ebrowska Wioletta;69080406467;31.03.2021;Gronowski;Pomoc laryngologiczna;Abonament medyczny;690
265;Milczarek Alicja;59092312186;31.03.2021;Maliñski;Pomoc kardiologiczna;NFZ;1260
266;Kogut Szymon;41030487814;31.03.2021;Bobrzyñski;Intensywna terapia;NFZ;2370
267;Lachowicz Maciej;04250615580;31.03.2021;Piotrecki;Pomoc laryngologiczna;NFZ;690
268;Stachowiak W³adys³aw;30091615623;01.04.2021;Maliñski;Pomoc kardiologiczna;NFZ;1260
269;Adamczak Grzegorz;42051960418;01.04.2021;Kalinowska;Pomoc laryngologiczna;Abonament medyczny;690
270;Warcho³ Sandra;17232161827;01.04.2021;Kosiñska;Pomoc kardiologiczna;Pol-Plan Ubezpieczenia;1260
271;Suchecki Dawid;44022132170;01.04.2021;Pielecka;Pomoc okulistyczna;NFZ;930
272;Szewczyk Marta;35110254542;04.04.2021;Kosiñska;Pomoc okulistyczna;Abonament medyczny;930
273;Ptak Szymon;91012781537;04.04.2021;Piotrecki;Pomoc ambulatoryjna;NFZ;570
274;Majchrzak Jan;13261517846;05.04.2021;Pielecka;Intensywna terapia;Polisa zdrowotna;2370
275;Marczak Pelagia;24062422730;05.04.2021;Kosiñska;Pomoc kardiologiczna;NFZ;1260
276;Wêgrzyn Makary;00221984107;05.04.2021;Kalinowska;Pomoc ambulatoryjna;NFZ;570
277;Piwowarczyk Jadwiga;19270104525;05.04.2021;Bobrzyñski;Pomoc okulistyczna;NFZ;930
278;Rybarczyk Bruno;91072626663;05.04.2021;Micha³owski;Pomoc okulistyczna;NFZ;930
279;Kapuœciñski Remigiusz;20220255536;05.04.2021;Gronowski;Pomoc okulistyczna;Pol-Plan Ubezpieczenia;930
280;Czajkowski Witold;05220773761;06.04.2021;Piotrecki;Pomoc okulistyczna;Abonament medyczny;930
281;Maliszewski Szymon;72012207403;06.04.2021;Piotrecki;Pomoc laryngologiczna;NFZ;690
282;Krajewski Marek;73100756854;08.04.2021;Piotrecki;Pomoc ambulatoryjna;NFZ;570
283;Gawroñski Maciej;17230642706;08.04.2021;Gronowski;Pomoc kardiologiczna;Polisa zdrowotna;1260
284;Morawski Dawid;86051766407;09.04.2021;Piotrecki;Pomoc okulistyczna;Abonament medyczny;930
285;Pop³awski Juliusz;53030701733;09.04.2021;Kalinowska;Pomoc kardiologiczna;Polisa zdrowotna;1260
286;Staszewska Maja;27071927085;09.04.2021;Micha³owski;Pomoc ambulatoryjna;NFZ;570
287;Szwed Józefina;72050943314;09.04.2021;Gronowski;Pomoc kardiologiczna;NFZ;1260
288;Kwieciñski S³awa;60020752279;09.04.2021;Kalinowska;Pomoc kardiologiczna;Abonament medyczny;1260
289;£ukaszewicz Nikola;72110441637;09.04.2021;Piotrecki;Pomoc kardiologiczna;NFZ;1260
290;Wdowiak Makary;95051500340;09.04.2021;Bobrzyñski;Pomoc ambulatoryjna;Pol-Plan Ubezpieczenia;570
291;Stasiak Bartosz;31102462454;12.04.2021;Piotrecki;Pomoc ambulatoryjna;Pol-Plan Ubezpieczenia;570
292;Kwaœniewski Patryk;62062464408;12.04.2021;Micha³owski;Pomoc kardiologiczna;NFZ;1260
293;Jab³oñska Edyta;59060463331;13.04.2021;Pielecka;Pomoc kardiologiczna;NFZ;1260
294;Czy¿ Wies³aw;64060852186;13.04.2021;Maliñski;Pomoc okulistyczna;Polisa zdrowotna;930
295;Przyby³a Roksana;54110884827;13.04.2021;Kosiñska;Intensywna terapia;Abonament medyczny;2370
296;Dudziak Bogna;03262040706;13.04.2021;Maliñski;Pomoc kardiologiczna;Polisa zdrowotna;1260
297;Miller Miko³aj;56042765827;13.04.2021;Maliñski;Pomoc kardiologiczna;NFZ;1260
298;Solecki Maksymilian;38081776570;13.04.2021;Kosiñska;Pomoc ambulatoryjna;Polisa zdrowotna;570
299;Przybylski Maksym;81090377823;14.04.2021;Piotrecki;Pomoc kardiologiczna;Polisa zdrowotna;1260
300;Witek Robert;41082023176;14.04.2021;Piotrecki;Pomoc laryngologiczna;NFZ;690
301;Szczepanik Alicja;14250751515;14.04.2021;Bobrzyñski;Pomoc kardiologiczna;Abonament medyczny;1260
302;Stêpniak Zenon;79061416787;14.04.2021;Piotrecki;Pomoc kardiologiczna;NFZ;1260
303;Jarz¹bek Rados³aw;44070842483;14.04.2021;Maliñski;Pomoc kardiologiczna;NFZ;1260
304;Kêpka Kacper;70112210453;14.04.2021;Gronowski;Pomoc kardiologiczna;NFZ;1260
305;Wysocki Patryk;14311166243;15.04.2021;Maliñski;Intensywna terapia;NFZ;2370
306;Dobosz Maciej;69082517800;15.04.2021;Gronowski;Pomoc kardiologiczna;NFZ;1260
307;Tracz Damian;01260125823;15.04.2021;Kalinowska;Nastawianie z³amanej koœci;NFZ;1110
308;Bugaj Piotr;41062230420;15.04.2021;Bobrzyñski;Intensywna terapia;NFZ;2370
309;JóŸwiak Blanka;37051984261;16.04.2021;Pielecka;Pomoc kardiologiczna;NFZ;1260
310;Ga³¹zka Szymon;23111177106;16.04.2021;Gronowski;Pomoc ambulatoryjna;NFZ;570
311;Michalczyk Nikola;15241342138;18.04.2021;Kalinowska;Nastawianie z³amanej koœci;Polisa zdrowotna;1110
312;Gut Stefan;57020957131;18.04.2021;Gronowski;Pomoc laryngologiczna;NFZ;690
313;Murawska Oliwia;04260965471;20.04.2021;Bobrzyñski;Pomoc kardiologiczna;NFZ;1260
314;Kapusta Piotr;48021926787;20.04.2021;Gronowski;Pomoc laryngologiczna;NFZ;690
315;Górny Patrycja;69072264107;20.04.2021;Micha³owski;Pomoc okulistyczna;NFZ;930
316;Kulig Roman;80060715487;20.04.2021;Pielecka;Pomoc laryngologiczna;NFZ;690
317;Szymanek Dawid;27100287579;20.04.2021;Kalinowska;Pomoc kardiologiczna;NFZ;1260
318;Kruczek Remigiusz;80060533616;20.04.2021;Bobrzyñski;Pomoc kardiologiczna;NFZ;1260
319;Kolasa Jacek;93072037812;21.04.2021;Piotrecki;Pomoc laryngologiczna;Abonament medyczny;690
320;Kosmala Roman;74100662587;21.04.2021;Gronowski;Intensywna terapia;Abonament medyczny;2370
321;Krukowski Alfred;10212004831;22.04.2021;Maliñski;Pomoc kardiologiczna;NFZ;1260
322;Majkowski Miko³aj;29011822234;22.04.2021;Piotrecki;Nastawianie z³amanej koœci;NFZ;1110
323;Ziêtek Boles³w;45061480015;23.04.2021;Gronowski;Pomoc kardiologiczna;Polisa zdrowotna;1260
324;Szot Monika;28052251748;23.04.2021;Maliñski;Pomoc kardiologiczna;NFZ;1260
325;Kania Wis³awa;21212474782;24.04.2021;Bobrzyñski;Pomoc ambulatoryjna;Pol-Plan Ubezpieczenia;570
326;Kula Justyna;48110736307;24.04.2021;Maliñski;Pomoc kardiologiczna;NFZ;1260
327;Motyka Mariusz;30080918412;24.04.2021;Bobrzyñski;Pomoc kardiologiczna;NFZ;1260
328;Izdebska Martyna;48012322277;24.04.2021;Micha³owski;Pomoc kardiologiczna;NFZ;1260
329;Lewiñska Martyna;36030642787;24.04.2021;Bobrzyñski;Szycie ran;NFZ;510
330;Domagalski Kacper;88090721805;24.04.2021;Pielecka;Pomoc kardiologiczna;NFZ;1260
331;Matuszewska Marcelina;20252303834;25.04.2021;Maliñski;Pomoc laryngologiczna;NFZ;690
332;Lach Sandra;15220946263;25.04.2021;Micha³owski;Pomoc laryngologiczna;NFZ;690
333;Banasik Renata;02251305536;25.04.2021;Kosiñska;Pomoc kardiologiczna;NFZ;1260
334;Piwowarski Rados³awa;78011826458;25.04.2021;Bobrzyñski;Pomoc kardiologiczna;NFZ;1260
335;Sobolewska Ró¿a;21300440035;26.04.2021;Kosiñska;Pomoc kardiologiczna;Polisa zdrowotna;1260
336;Matysiak Wiktoria;81111572383;26.04.2021;Gronowski;Intensywna terapia;NFZ;2370
337;Sobieraj Maria;12250511423;26.04.2021;Bobrzyñski;Pomoc kardiologiczna;NFZ;1260
338;Zygmunt Hanna;33011273488;26.04.2021;Kosiñska;Pomoc laryngologiczna;NFZ;690
339;Szymczak Sonia;04211314538;27.04.2021;Maliñski;Pomoc kardiologiczna;NFZ;1260
340;Pa³ka W³odzimierz;66080905507;27.04.2021;Kosiñska;Pomoc okulistyczna;Abonament medyczny;930
341;Barañski Joachim;49021501150;28.04.2021;Kosiñska;Pomoc ambulatoryjna;Polisa zdrowotna;570
342;Kmiecik Miko³aj;22231132411;28.04.2021;Gronowski;Pomoc kardiologiczna;Polisa zdrowotna;1260
343;Chojnowski Dominik;30042355680;28.04.2021;Kalinowska;Pomoc kardiologiczna;NFZ;1260
344;Ro¿ek Micha³;76010755777;28.04.2021;Gronowski;Pomoc kardiologiczna;NFZ;1260
345;Wi¹cek Makary;07311872472;29.04.2021;Maliñski;Pomoc kardiologiczna;Pol-Plan Ubezpieczenia;1260
346;Lenart Patryk;71050264384;29.04.2021;Piotrecki;Pomoc okulistyczna;NFZ;930
347;Plichta Lena;73070953354;29.04.2021;Micha³owski;Pomoc kardiologiczna;Pol-Plan Ubezpieczenia;1260
348;Bojarski Patryk;29031965405;29.04.2021;Pielecka;Pomoc okulistyczna;Pol-Plan Ubezpieczenia;930
349;Kobus Roman;00211376349;01.05.2021;Maliñski;Pomoc okulistyczna;Pol-Plan Ubezpieczenia;930
350;Rusek Weronika;56011953114;01.05.2021;Kalinowska;Pomoc ambulatoryjna;NFZ;570
351;Pietrzak Marianna;71101027661;02.05.2021;Pielecka;Pomoc okulistyczna;NFZ;930
352;Dobrowolski Maksymilian;59010463183;02.05.2021;Kalinowska;Pomoc okulistyczna;Abonament medyczny;930
353;Zarzycki Mateusz;40032122835;02.05.2021;Micha³owski;Pomoc okulistyczna;NFZ;930
354;Pawelec Adam;53112128337;02.05.2021;Kalinowska;Pomoc kardiologiczna;NFZ;1260
355;Mroczkowski Piotr;46041045664;04.05.2021;Gronowski;Intensywna terapia;NFZ;2370
356;Tomasik Igor;88051936765;04.05.2021;Piotrecki;Pomoc laryngologiczna;NFZ;690
357;Bugajski Patryk;53091505851;04.05.2021;Micha³owski;Pomoc kardiologiczna;Polisa zdrowotna;1260
358;Chojnacka Danuta;26071013606;05.05.2021;Kalinowska;Pomoc kardiologiczna;NFZ;1260
359;Kaczorowska Stella;65072261434;05.05.2021;Kalinowska;Pomoc kardiologiczna;NFZ;1260
360;Rudziñska Maria;93031321248;06.05.2021;Pielecka;Pomoc laryngologiczna;NFZ;690
361;Wojtowicz Wiktoria;90010620208;06.05.2021;Pielecka;Pomoc kardiologiczna;NFZ;1260
362;Smoliñski Mateusz;03222038165;07.05.2021;Kalinowska;Pomoc ambulatoryjna;Polisa zdrowotna;570
363;Misztal Mateusz;83042306316;07.05.2021;Piotrecki;Pomoc kardiologiczna;NFZ;1260
364;Janusz Aleksandra;02311042489;08.05.2021;Kosiñska;Pomoc kardiologiczna;Abonament medyczny;1260
365;Kujawski Jakub;76041366614;08.05.2021;Micha³owski;Pomoc laryngologiczna;NFZ;690
366;Szopa Regina;41071710803;08.05.2021;Kosiñska;Pomoc okulistyczna;NFZ;930
367;Nalepa Makary;17282600323;08.05.2021;Pielecka;Pomoc laryngologiczna;NFZ;690
368;Kaczmarek Piotr;46100724826;09.05.2021;Bobrzyñski;Pomoc okulistyczna;NFZ;930
369;¯urek Marianna;47080474518;09.05.2021;Kalinowska;Pomoc kardiologiczna;NFZ;1260
370;Dudzik Wiktor;25092541701;11.05.2021;Micha³owski;Intensywna terapia;NFZ;2370
371;Molenda Wojciech;27021936709;11.05.2021;Pielecka;Pomoc laryngologiczna;Pol-Plan Ubezpieczenia;690
372;Pietruszka Marianna;12211604746;11.05.2021;Gronowski;Pomoc kardiologiczna;NFZ;1260
373;NiedŸwiecki Emil;15290970881;11.05.2021;Kosiñska;Pomoc laryngologiczna;NFZ;690
374;Dzikowska Martyna;30080885239;11.05.2021;Kosiñska;Pomoc okulistyczna;NFZ;930
375;Kopacz Brygida;05251686779;11.05.2021;Maliñski;Pomoc kardiologiczna;NFZ;1260
376;Paradowska Roksana;33020818212;11.05.2021;Bobrzyñski;Pomoc kardiologiczna;NFZ;1260
377;Piech Zuzanna;19301355803;11.05.2021;Kalinowska;Pomoc okulistyczna;NFZ;930
378;Matczak Dawid;18311170286;11.05.2021;Kalinowska;Intensywna terapia;NFZ;2370
379;Pisarek Julia;26052586671;11.05.2021;Gronowski;Intensywna terapia;Polisa zdrowotna;2370
380;Kalinowska Emilia;86040267281;12.05.2021;Kosiñska;Pomoc okulistyczna;NFZ;930
381;Zaremba Natalia;57111687086;12.05.2021;Kosiñska;Pomoc kardiologiczna;Polisa zdrowotna;1260
382;Ostrowski Jakub;98051037007;14.05.2021;Gronowski;Pomoc laryngologiczna;Abonament medyczny;690
383;Zió³kowski Kacper;53092582455;14.05.2021;Pielecka;Pomoc laryngologiczna;NFZ;690
384;Czech Aleksander;50041181758;14.05.2021;Bobrzyñski;Pomoc okulistyczna;Pol-Plan Ubezpieczenia;930
385;Cieœla Micha³;75011208215;14.05.2021;Micha³owski;Pomoc okulistyczna;NFZ;930
386;Janus Dagmara;59031875453;14.05.2021;Micha³owski;Pomoc kardiologiczna;NFZ;1260
387;Gutowska Amelia;67020537136;14.05.2021;Bobrzyñski;Pomoc kardiologiczna;Polisa zdrowotna;1260
388;Mucha Bo¿ena;70062700204;15.05.2021;Maliñski;Intensywna terapia;NFZ;2370
389;Bielecka Wiktoria;19300515110;15.05.2021;Kosiñska;Pomoc kardiologiczna;NFZ;1260
390;Radomska Emilia;10282245286;15.05.2021;Pielecka;Intensywna terapia;NFZ;2370
391;Krysiak Julia;81020421402;15.05.2021;Kosiñska;Pomoc kardiologiczna;Polisa zdrowotna;1260
392;Wójtowicz Maja;58100800031;16.05.2021;Piotrecki;Pomoc kardiologiczna;Pol-Plan Ubezpieczenia;1260
393;Ciszewski Bernard;33010583247;16.05.2021;Maliñski;Pomoc okulistyczna;NFZ;930
394;Czerniak Aldona;89012612124;17.05.2021;Gronowski;Pomoc kardiologiczna;NFZ;1260
395;B³aszczak Natalia;85051410606;17.05.2021;Kalinowska;Pomoc kardiologiczna;NFZ;1260
396;Olczyk Blanka;18281015464;17.05.2021;Micha³owski;Pomoc okulistyczna;Polisa zdrowotna;930
397;Czapliñski Miko³aj;42041211803;17.05.2021;Micha³owski;Pomoc kardiologiczna;Abonament medyczny;1260
398;Walczak Igor;05252276029;18.05.2021;Maliñski;Pomoc kardiologiczna;Polisa zdrowotna;1260
399;Rak Bartosz;43112761816;18.05.2021;Piotrecki;Pomoc okulistyczna;NFZ;930
400;B³aszczyk Wanda;54080430589;19.05.2021;Kosiñska;Pomoc kardiologiczna;Pol-Plan Ubezpieczenia;1260
401;Kaleta Jakub;39011421227;19.05.2021;Gronowski;Pomoc kardiologiczna;NFZ;1260
402;Olejniczak Marcelina;87051202155;20.05.2021;Micha³owski;Pomoc okulistyczna;NFZ;930
403;Pietras B³a¿ej;54021821816;20.05.2021;Gronowski;Pomoc okulistyczna;NFZ;930
404;Jackowska Maria;09210221018;20.05.2021;Bobrzyñski;Pomoc okulistyczna;NFZ;930
405;Bielski Emil;08270113521;20.05.2021;Pielecka;Pomoc kardiologiczna;NFZ;1260
406;Stachowski Dominik;01240522017;20.05.2021;Micha³owski;Pomoc ambulatoryjna;NFZ;570
407;Konieczny Edward;14301255436;22.05.2021;Micha³owski;Pomoc kardiologiczna;NFZ;1260
408;Matuszak Alicja;53051205153;22.05.2021;Micha³owski;Pomoc kardiologiczna;NFZ;1260
409;Stachowicz Wiktor;07311458535;22.05.2021;Kalinowska;Pomoc kardiologiczna;NFZ;1260
410;Knap Szymon;84102581537;22.05.2021;Kosiñska;Pomoc laryngologiczna;NFZ;690
411;Buczkowski Igor;95011343729;23.05.2021;Maliñski;Pomoc kardiologiczna;Abonament medyczny;1260
412;Nowiñska Zuzanna;48052780503;23.05.2021;Kalinowska;Pomoc kardiologiczna;NFZ;1260
413;Karolak Jan;26031271725;23.05.2021;Maliñski;Pomoc kardiologiczna;Polisa zdrowotna;1260
414;Kupiec Nikola;87071578759;23.05.2021;Pielecka;Pomoc kardiologiczna;Abonament medyczny;1260
415;Kucharski Sebastian;11271226776;24.05.2021;Kosiñska;Pomoc laryngologiczna;Polisa zdrowotna;690
416;Kuœ Gra¿yna;04230206304;24.05.2021;Piotrecki;Pomoc kardiologiczna;NFZ;1260
417;B¹kowski Szymon;76062460883;25.05.2021;Piotrecki;Pomoc kardiologiczna;NFZ;1260
418;Sidor Wojciech;93062312880;25.05.2021;Kosiñska;Pomoc okulistyczna;Polisa zdrowotna;930
419;Gadomska Zofia;79080614720;26.05.2021;Kalinowska;Pomoc kardiologiczna;NFZ;1260
420;Kaliñska Stefania;92010582335;26.05.2021;Bobrzyñski;Pomoc okulistyczna;NFZ;930
421;Urbanowicz Wiktoria;51012742813;27.05.2021;Piotrecki;Pomoc kardiologiczna;NFZ;1260
422;Marchewka Damian;96012634489;27.05.2021;Bobrzyñski;Pomoc kardiologiczna;NFZ;1260
423;¯y³a Wojciech;08312282219;27.05.2021;Bobrzyñski;Szycie ran;Abonament medyczny;510
424;Ossowski Marcin;34061623001;27.05.2021;Kalinowska;Pomoc ambulatoryjna;NFZ;570
425;Kraszewski Jacek;62050226658;27.05.2021;Kosiñska;Pomoc okulistyczna;NFZ;930
426;Kozakiewicz Aleksandra;09270583138;27.05.2021;Bobrzyñski;Pomoc kardiologiczna;NFZ;1260
427;Stêpniewski Miko³aj;09212088208;27.05.2021;Kalinowska;Pomoc kardiologiczna;NFZ;1260
428;KaŸmierski Dominik;63111044707;27.05.2021;Pielecka;Pomoc okulistyczna;NFZ;930
429;So³tysiak Pelagia;33061328701;29.05.2021;Gronowski;Intensywna terapia;Polisa zdrowotna;2370
430;Ferenc Micha³;04232121610;29.05.2021;Pielecka;Pomoc kardiologiczna;Abonament medyczny;1260
431;Bednarski Zenon;84011382748;31.05.2021;Gronowski;Pomoc kardiologiczna;NFZ;1260
432;Tarnowski B³a¿ej;60092784510;31.05.2021;Piotrecki;Intensywna terapia;NFZ;2370
433;Aleksandrowicz Adela;45021728777;02.06.2021;Micha³owski;Pomoc laryngologiczna;Pol-Plan Ubezpieczenia;690
434;Kurzawa Filip;21272211318;02.06.2021;Piotrecki;Pomoc kardiologiczna;NFZ;1260
435;Polak Eugeniusz;09291852253;03.06.2021;Kosiñska;Pomoc laryngologiczna;NFZ;690
436;Falkowski Filip;45020125063;03.06.2021;Maliñski;Pomoc kardiologiczna;NFZ;1260
437;Pawlicki Kacper;28090438770;04.06.2021;Micha³owski;Pomoc kardiologiczna;NFZ;1260
438;Krauze Wojciech;93020811721;04.06.2021;Kalinowska;Pomoc laryngologiczna;Pol-Plan Ubezpieczenia;690
439;Wrona Julia;17240710888;05.06.2021;Maliñski;Szycie ran;NFZ;510
440;Mika Igor;98020166475;05.06.2021;Kalinowska;Pomoc laryngologiczna;Abonament medyczny;690
441;Szel¹g Bogus³aw;50052764818;05.06.2021;Kosiñska;Intensywna terapia;NFZ;2370
442;Szarek Micha³;63072014076;05.06.2021;Kosiñska;Pomoc kardiologiczna;NFZ;1260
443;Kowalik Emil;07242044201;06.06.2021;Pielecka;Pomoc kardiologiczna;Polisa zdrowotna;1260
444;Rosiak Sonia;93080632751;06.06.2021;Kosiñska;Pomoc kardiologiczna;Pol-Plan Ubezpieczenia;1260
445;Florek Amanda;19220837422;06.06.2021;Kalinowska;Pomoc ambulatoryjna;NFZ;570
446;Malik Edward;75050684713;06.06.2021;Micha³owski;Pomoc kardiologiczna;NFZ;1260
447;Wachowiak Amelia;87032243438;06.06.2021;Gronowski;Pomoc kardiologiczna;NFZ;1260
448;G³owacka Alicja;82030183058;08.06.2021;Gronowski;Pomoc kardiologiczna;NFZ;1260
449;Fr¹ckowiak Wiktor;34061146609;08.06.2021;Gronowski;Pomoc kardiologiczna;NFZ;1260
450;Stêpieñ Bernard;96062100844;09.06.2021;Piotrecki;Pomoc okulistyczna;NFZ;930
451;Kulik Nikola;41052485065;09.06.2021;Gronowski;Szycie ran;Pol-Plan Ubezpieczenia;510
452;Chudzik Hanna;75041434842;10.06.2021;Micha³owski;Pomoc laryngologiczna;NFZ;690
453;Barszcz Bartosz;31111260603;10.06.2021;Bobrzyñski;Pomoc laryngologiczna;NFZ;690
454;Cybulski Jeremiasz;45070254773;11.06.2021;Maliñski;Pomoc kardiologiczna;NFZ;1260
455;Wilczek Julia;68052430277;11.06.2021;Gronowski;Pomoc kardiologiczna;NFZ;1260
456;Góral Anna;29021271350;11.06.2021;Piotrecki;Pomoc okulistyczna;Pol-Plan Ubezpieczenia;930
457;Wojda Juliusz;93102664267;11.06.2021;Bobrzyñski;Pomoc kardiologiczna;Pol-Plan Ubezpieczenia;1260
458;Królik Czes³awa;17241426083;11.06.2021;Gronowski;Pomoc kardiologiczna;NFZ;1260
459;Paszkowska Wis³awa;35010484689;12.06.2021;Bobrzyñski;Pomoc kardiologiczna;NFZ;1260
460;Grzeœkowiak Gabriela;73030823224;12.06.2021;Maliñski;Pomoc kardiologiczna;NFZ;1260
461;Studziñska Alina;83051966806;12.06.2021;Kosiñska;Pomoc ambulatoryjna;NFZ;570
462;Antoniak Cyprian;86080120876;12.06.2021;Micha³owski;Pomoc kardiologiczna;Polisa zdrowotna;1260
463;Wagner Marianna;60051506351;12.06.2021;Bobrzyñski;Pomoc laryngologiczna;NFZ;690
464;Krawczyk Filip;68022144775;13.06.2021;Piotrecki;Intensywna terapia;NFZ;2370
465;Jarosz Zdzis³aw;98041050364;13.06.2021;Micha³owski;Pomoc kardiologiczna;NFZ;1260
466;Kaczor Jonatan;93030554573;13.06.2021;Kosiñska;Pomoc laryngologiczna;NFZ;690
467;¯urawski Wojciech;79022158273;13.06.2021;Kalinowska;Intensywna terapia;NFZ;2370
468;Wiêckowska Lena;67011170711;13.06.2021;Piotrecki;Pomoc kardiologiczna;NFZ;1260
469;Adamus Wies³aw;74081407737;13.06.2021;Kosiñska;Pomoc kardiologiczna;NFZ;1260
470;Szczêsny Ryszarda;69071554663;13.06.2021;Bobrzyñski;Pomoc kardiologiczna;Polisa zdrowotna;1260
471;Mielcarek Kacper;00240361246;13.06.2021;Pielecka;Pomoc kardiologiczna;Polisa zdrowotna;1260
472;Herman Jan;38111126432;14.06.2021;Micha³owski;Intensywna terapia;NFZ;2370
473;Æwikliñska Anna;16251081617;14.06.2021;Maliñski;Pomoc okulistyczna;Polisa zdrowotna;930
474;Zakrzewski Szymon;81052742715;16.06.2021;Bobrzyñski;Pomoc kardiologiczna;Pol-Plan Ubezpieczenia;1260
475;£uczak Bernard;55031866682;16.06.2021;Pielecka;Pomoc kardiologiczna;NFZ;1260
476;Czy¿ewska Aldona;95062775302;16.06.2021;Kalinowska;Pomoc kardiologiczna;Polisa zdrowotna;1260
477;W¹sik Ma³gorzata;14221632144;16.06.2021;Maliñski;Pomoc kardiologiczna;Polisa zdrowotna;1260
478;Zab³ocka Bo¿ena;53092347034;19.06.2021;Kalinowska;Pomoc ambulatoryjna;NFZ;570
479;Olszak Wies³awa;81102246620;19.06.2021;Kosiñska;Pomoc kardiologiczna;NFZ;1260
480;Wójcik Weronika;63080925755;22.06.2021;Piotrecki;Pomoc laryngologiczna;NFZ;690
481;Pi¹tkowski Piotr;65062031379;22.06.2021;Maliñski;Pomoc kardiologiczna;NFZ;1260
482;Rosa Cyprian;14291483624;22.06.2021;Kalinowska;Pomoc kardiologiczna;Abonament medyczny;1260
483;Rybka Alicja;87062275586;22.06.2021;Kosiñska;Pomoc ambulatoryjna;NFZ;570
484;Wolny Maksymilian;49100254760;23.06.2021;Kalinowska;Pomoc kardiologiczna;Pol-Plan Ubezpieczenia;1260
485;Niezgoda Martyna;60052318146;23.06.2021;Pielecka;Pomoc okulistyczna;NFZ;930
486;Pluta Paulina;44111935882;24.06.2021;Kalinowska;Pomoc kardiologiczna;Polisa zdrowotna;1260
487;Stec Mariusz;07282004418;24.06.2021;Kosiñska;Pomoc laryngologiczna;Pol-Plan Ubezpieczenia;690
488;Krzemiñski Marek;97082038836;25.06.2021;Micha³owski;Pomoc kardiologiczna;NFZ;1260
489;Dobrzyñski Witold;77030635421;25.06.2021;Bobrzyñski;Pomoc kardiologiczna;Polisa zdrowotna;1260
490;Mróz Miko³aj;72060264535;26.06.2021;Piotrecki;Pomoc kardiologiczna;Abonament medyczny;1260
491;Tkaczyk Bernardyna;25021857309;26.06.2021;Piotrecki;Pomoc kardiologiczna;NFZ;1260
492;Urbanek Makary;32102683667;26.06.2021;Piotrecki;Pomoc kardiologiczna;NFZ;1260
493;Górna Tomasz;70080253560;26.06.2021;Pielecka;Pomoc kardiologiczna;Polisa zdrowotna;1260
494;Sawicka Sabina;22282041564;27.06.2021;Maliñski;Pomoc kardiologiczna;Polisa zdrowotna;1260
495;Panek Dominik;54080512407;27.06.2021;Gronowski;Pomoc kardiologiczna;NFZ;1260
496;Niemczyk Bartosz;97011940807;27.06.2021;Micha³owski;Pomoc kardiologiczna;NFZ;1260
497;Rudnik Filip;49021883348;27.06.2021;Maliñski;Pomoc ambulatoryjna;Pol-Plan Ubezpieczenia;570
498;Wielgus Miko³aj;22301455107;27.06.2021;Pielecka;Pomoc kardiologiczna;NFZ;1260
499;Majewski Adam;45051383614;28.06.2021;Pielecka;Pomoc kardiologiczna;NFZ;1260
500;Banaœ Bohdan;53072026539;28.06.2021;Gronowski;Pomoc okulistyczna;NFZ;930
501;Kacprzak Szymon;49100805836;29.06.2021;Maliñski;Pomoc ambulatoryjna;NFZ;570
502;Kaczmarski Cezar;38111076034;29.06.2021;Micha³owski;Intensywna terapia;NFZ;2370
503;Cieœlak Aleksy;84032728783;30.06.2021;Maliñski;Nastawianie z³amanej koœci;NFZ;1110
504;S³owik Wiktor;36041761147;30.06.2021;Kalinowska;Pomoc kardiologiczna;NFZ;1260
505;Siedlecki Dawid;33070552441;30.06.2021;Micha³owski;Pomoc kardiologiczna;NFZ;1260
506;Grudziñski Bart³omiej;32082263637;30.06.2021;Kosiñska;Pomoc okulistyczna;Pol-Plan Ubezpieczenia;930
507;Piskorz Mateusz;43080317860;30.06.2021;Piotrecki;Pomoc kardiologiczna;NFZ;1260
508;Paj¹k Mateusz;79052546101;01.07.2021;Piotrecki;Pomoc okulistyczna;NFZ;930
509;Pilarska Dominika;57060652566;01.07.2021;Piotrecki;Pomoc kardiologiczna;Polisa zdrowotna;1260
510;W³odarska Amanda;14281335579;02.07.2021;Bobrzyñski;Pomoc kardiologiczna;NFZ;1260
511;Ratajczyk Dawid;30101238024;02.07.2021;Kosiñska;Pomoc kardiologiczna;NFZ;1260
512;Œpiewak Eleonora;65081865586;02.07.2021;Pielecka;Pomoc okulistyczna;NFZ;930
